data_label,construct,grouping,n_groups,n_used,test_used,test_choice_reason,p_raw,eta_squared,effect_size_label,classic_F,classic_p,welch_p,kruskal_p,levene_stat,levene_p,equal_variances_ok,residual_skew,residual_kurtosis,normality_p,p_adjusted_bh,significant_after_correction,correction_method
SYNTHETIC DATA,credibility,department,7,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.11488073680555894,0.0021,negligible,1.708,0.11488073680555894,0.13196427574627598,0.12339849436576605,0.499,0.8095373509488886,True,-0.325,-0.46,2.3340575633151936e-34,0.39484408324911685,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,credibility,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.5803336722345116,0.0006,negligible,0.717,0.5803336722345116,0.5896533866532717,0.5109112349739797,0.643,0.6315816926878102,True,-0.326,-0.459,2.3338896924050933e-34,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,credibility,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.3469394698377544,0.0012,negligible,1.121,0.3469394698377544,0.3502232210339335,0.34649932196669425,0.147,0.9811106606993382,True,-0.326,-0.459,2.503842987607401e-34,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,respect,department,7,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.9069555232498885,0.0004,negligible,0.356,0.9069555232498885,0.9055295716515166,0.9181700692772627,0.695,0.653787431702376,True,-0.331,-0.467,1.0088729350296881e-35,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,respect,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.9362825899445674,0.0002,negligible,0.204,0.9362825899445674,0.9349637950604385,0.9465016149868072,1.4,0.2314004927012922,True,-0.331,-0.47,6.183007342656729e-36,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,respect,location,6,4850,Welch ANOVA,"Levene significant: group variances differ, so Welch is used.",0.11516285761432575,0.0018,negligible,1.738,0.12238610181158911,0.11516285761432575,0.19417846887266388,2.734,0.017961783961590354,False,-0.33,-0.473,3.997419579264341e-36,0.39484408324911685,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,fairness,department,7,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.684426720163969,0.0008,negligible,0.657,0.684426720163969,0.700626780657012,0.764905617938993,0.662,0.6803938971964564,True,-0.338,-0.506,1.797744076017252e-40,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,fairness,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.8285310575201758,0.0003,negligible,0.372,0.8285310575201758,0.8323903422781546,0.807613057956775,1.587,0.1747591037129821,True,-0.34,-0.506,9.858885772972046e-41,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,fairness,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.7819423596940321,0.0005,negligible,0.493,0.7819423596940321,0.7710071715127181,0.8338575590474314,1.004,0.41343411166129984,True,-0.339,-0.508,7.999152233695409e-41,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,pride,department,7,4850,Welch ANOVA,"Levene significant: group variances differ, so Welch is used.",0.6388535185890853,0.0009,negligible,0.728,0.6273389514756884,0.6388535185890853,0.7626009665149204,2.232,0.03739098062792623,False,-0.439,-0.433,2.196972437712713e-45,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,pride,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,1.4106299649025105e-12,0.0126,small,15.467,1.4106299649025105e-12,1.0747456994831728e-12,1.0915470614688634e-11,1.649,0.15907534729467715,True,-0.436,-0.434,4.547264838284027e-45,1.1285039719220084e-11,True,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,pride,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.39380290280336383,0.0011,negligible,1.037,0.39380290280336383,0.38488704243975597,0.2828306592361225,0.242,0.943785926079829,True,-0.444,-0.424,2.827673379910675e-45,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,camaraderie,department,7,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.7509691402800247,0.0007,negligible,0.575,0.7509691402800247,0.7449949974694812,0.7699297200432657,0.511,0.8007888389241942,True,-0.363,-0.473,9.054088343105893e-40,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,camaraderie,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.9100122408900794,0.0002,negligible,0.25,0.9100122408900794,0.9128004181169966,0.8992182682727866,1.042,0.3837987616449443,True,-0.364,-0.474,6.122342256456035e-40,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,camaraderie,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.5811665031333351,0.0008,negligible,0.757,0.5811665031333351,0.5711125330244649,0.6439168453741596,1.388,0.22546089686219759,True,-0.364,-0.476,4.843733661935875e-40,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,leadership,department,7,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.5019039524685602,0.0011,negligible,0.889,0.5019039524685602,0.47013827932147834,0.6076466675757741,1.139,0.33676938966794423,True,-0.318,-0.521,3.635682441048102e-40,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,leadership,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.7821901113303694,0.0004,negligible,0.437,0.7821901113303694,0.7849122488297426,0.8202754027294488,0.397,0.8109990255044646,True,-0.319,-0.519,5.635601373510535e-40,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,leadership,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,7.700768748423349e-14,0.0145,small,14.218,7.700768748423349e-14,2.2702201877974473e-13,2.2571661079490016e-13,1.843,0.10104042775474566,True,-0.315,-0.502,1.3867780965662401e-37,9.24092249810802e-13,True,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,development,department,7,4850,Welch ANOVA,"Levene significant: group variances differ, so Welch is used.",3.660723530974557e-11,0.0121,small,9.891,7.146945620368093e-11,3.660723530974557e-11,4.0218378195044953e-10,3.32,0.002903651832901809,False,-0.419,-0.38,6.116833803879836e-39,2.1964341185847344e-10,True,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,development,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.9828537898176871,0.0001,negligible,0.099,0.9828537898176871,0.9817219595597086,0.9958609905020229,1.822,0.12170145598489888,True,-0.43,-0.379,2.6392117529230756e-40,0.9828537898176871,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,development,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.09763777120781868,0.0019,negligible,1.861,0.09763777120781868,0.09252006981763443,0.1740042512378746,0.923,0.46474323850317256,True,-0.428,-0.385,2.3430935339100348e-40,0.39484408324911685,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,wellbeing,department,7,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.8278633335551744,0.0006,negligible,0.474,0.8278633335551744,0.8354738415767374,0.9519345838873368,0.589,0.7390864951406666,True,-0.341,-0.455,1.6027808982146417e-35,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,wellbeing,tenure_band,5,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,0.6789310840465004,0.0005,negligible,0.578,0.6789310840465004,0.6753876304194897,0.64663036464422,1.752,0.1356328762571202,True,-0.341,-0.446,7.697121214826175e-35,0.9769905286378094,False,"Benjamini-Hochberg FDR, alpha=0.05"
SYNTHETIC DATA,wellbeing,location,6,4850,One-way ANOVA,Levene not significant: equal-variance assumption holds.,3.148820601904821e-32,0.032,small,32.037,3.148820601904821e-32,1.3642208395813486e-30,1.0359148146710206e-30,1.049,0.3866540969364329,True,-0.336,-0.417,6.627549131009604e-32,7.557169444571571e-31,True,"Benjamini-Hochberg FDR, alpha=0.05"
