data_label,business_unit,credibility,respect,fairness,pride,camaraderie,leadership,development,wellbeing,satisfaction,n_respondents,culture_index,headcount,region,revenue_musd,return_on_sales_pct,culture_index_sd,culture_index_se,culture_ci_low,culture_ci_high
SYNTHETIC DATA,BU01,3.549051199427139,3.608619763694952,3.640194235588973,3.7981784819190834,3.579506802721089,3.604569459362693,3.755997135696384,3.602703186537773,3.761278195488722,266,3.6423525331185114,272,EMEA,121.7,6.2,0.5904474118013707,0.03620265360725,3.5713953320483003,3.7133097341887207
SYNTHETIC DATA,BU02,3.3206521739130435,3.37597049689441,3.2533643892339543,3.428506728778468,3.237383540372671,3.358307453416149,3.337577639751553,3.331586438923396,3.378205128205128,92,3.330418607660455,95,APAC,45.2,10.48,0.7280762172215076,0.075907192911417,3.181640509554078,3.4791967057668325
SYNTHETIC DATA,BU03,3.098804087845184,3.2287181996086103,3.1386986301369864,3.297852794085671,3.1240215264187867,3.096678625788215,3.225679495542509,3.0645520765383782,3.256849315068493,219,3.1593756794955423,224,APAC,268.5,7.45,0.6557217757352752,0.044309571369481,3.07252891961136,3.246222439379725
SYNTHETIC DATA,BU04,3.446377478029839,3.4528663396689145,3.512262415695892,3.606258941344778,3.4983905579399144,3.5158389536071937,3.7085428162681375,3.464898835070509,3.5711731044349078,233,3.5256795422031475,239,AMER,159.2,8.18,0.583042506558625,0.038196384592532,3.4508146284017847,3.6005444560045103
SYNTHETIC DATA,BU05,3.8408340214698593,3.861512524084778,3.903041563446188,4.022846132672722,3.81055601431324,3.800578034682081,4.008808147536471,3.872942471786402,4.0271317829457365,173,3.890139863748968,180,EMEA,161.3,9.85,0.4933222941831098,0.037506599491589,3.816626928745453,3.963652798752482
SYNTHETIC DATA,BU06,3.02638762511374,3.0348043676069154,2.997156505914468,3.089513193812557,3.052024567788899,2.9885122838944493,3.261085835608129,3.021989687594784,3.288747346072187,157,3.0589342584167425,162,EMEA,215.6,6.16,0.6461069871348334,0.0515649512395201,2.957866953987283,3.160001562846202
SYNTHETIC DATA,BU07,3.3505537098560354,3.36140642303433,3.410548172757475,3.530841638981174,3.4439590254706536,3.377569213732005,3.548106312292359,3.346234772978959,3.5647286821705424,215,3.421152408637874,222,EMEA,155.3,8.25,0.6229027714163579,0.0424816164146426,3.3378884404651745,3.5044163768105734
SYNTHETIC DATA,BU08,3.829745596868885,3.86616655794738,3.811208958469233,4.001358991085018,3.877337464666232,3.881061100239183,4.038530115242444,3.879838008262666,3.9444444444444446,219,3.89815584909763,228,EMEA,21.2,9.56,0.5754386366593013,0.038884539576593,3.821942151527508,3.974369546667752
SYNTHETIC DATA,BU09,3.88016868189282,3.8525339602925808,3.930791909240185,4.054429765636662,3.872514554411106,3.905470965815793,4.056426332288401,3.880187341394238,4.037617554858934,319,3.9290654388714734,324,EMEA,118.9,10.43,0.5334881845515731,0.029869603921386,3.870521015185557,3.98760986255739
SYNTHETIC DATA,BU10,3.7202636419374615,3.712037604741468,3.6907725321888414,3.864985693848354,3.664515634580012,3.705778663396689,3.850725526262007,3.760755160433272,3.880543633762518,233,3.746229307173513,243,APAC,73.1,8.51,0.5867979584788998,0.0384424124279848,3.670882178814663,3.821576435532363
SYNTHETIC DATA,BU11,3.113274835796388,3.061884236453202,3.153576559934318,3.2796336206896552,3.1486658456486043,3.094647988505747,3.2286124794745485,3.0948019293924465,3.2769396551724137,232,3.146887186986864,238,EMEA,106.1,9.85,0.6262195918621528,0.0411133303971453,3.066305059408459,3.2274693145652686
SYNTHETIC DATA,BU12,3.731845238095238,3.67514880952381,3.676488095238095,3.8847222222222224,3.6838293650793648,3.6688988095238098,3.836269841269841,3.723759920634921,3.94375,120,3.735120287698413,126,EMEA,194.5,8.21,0.6533756576731604,0.0596447643720605,3.618216549529174,3.852024025867652
SYNTHETIC DATA,BU13,3.187239583333333,3.242857142857143,3.2015625,3.439620535714285,3.2282366071428568,3.175558035714286,3.460863095238095,3.225483630952381,3.4072916666666666,160,3.2701776413690475,172,EMEA,194.7,9.65,0.6483131861486975,0.0512536576337652,3.169720472406868,3.370634810331228
SYNTHETIC DATA,BU14,3.1888969873663755,3.238095238095238,3.19290573372206,3.3524862325882734,3.2162698412698414,3.1996679624230646,3.385908649173956,3.2912455458373824,3.434807256235828,147,3.258184523809524,151,EMEA,155.3,7.22,0.590002524472727,0.0486625880466982,3.1628058512379957,3.353563196381052
SYNTHETIC DATA,BU15,3.570161144305631,3.536234836139779,3.578829440521456,3.731214919427847,3.5776842295853704,3.597931377874344,3.7637153720803913,3.569301104472207,3.7734474017743977,263,3.6156340530508784,270,EMEA,131.2,9.07,0.5972184761622071,0.0368260688511868,3.543454958102552,3.6878131479992047
SYNTHETIC DATA,BU16,3.68985615079365,3.69224537037037,3.689732142857143,3.916914682539683,3.7348958333333337,3.688822751322751,3.937202380952381,3.678571428571429,3.8125,144,3.7535300925925927,149,EMEA,129.1,7.39,0.5722468153242177,0.0476872346103514,3.660063112756304,3.8469970724288816
SYNTHETIC DATA,BU17,3.8764285714285713,3.84187074829932,3.900850340136055,4.046326530612245,3.881802721088435,3.86265306122449,4.089170068027211,3.824625850340136,3.980476190476191,175,3.915465986394558,183,APAC,184.3,13.01,0.5653271032879436,0.0427347121344121,3.83170595061111,3.999226022178005
SYNTHETIC DATA,BU18,3.303282828282828,3.3024891774891776,3.216587301587301,3.455079365079365,3.33524531024531,3.298737373737373,3.431774891774892,3.371717171717172,3.492929292929293,165,3.3393641774891774,170,EMEA,179.6,6.69,0.6897001597480982,0.0536930846151928,3.2341257316434,3.444602623334956
SYNTHETIC DATA,BU19,3.441537761601456,3.447793448589627,3.4588262056414925,3.665984228086139,3.407794965119806,3.429974218986958,3.592963299969669,3.422838944494995,3.628450106157112,157,3.4834641340612675,160,EMEA,198.3,5.97,0.6569032839066746,0.0524265895249627,3.3807080185923404,3.5862202495301947
SYNTHETIC DATA,BU20,3.22859796784956,3.2775629360024263,3.21333788292387,3.377653927813163,3.198096754625417,3.176599939338793,3.319987867758568,3.201209432817713,3.397231096911608,314,3.249130838641189,325,AMER,41.1,7.81,0.6388465250435552,0.0360521951132631,3.1784685362191927,3.3197931410631845
SYNTHETIC DATA,BU21,3.612787356321839,3.5899356869184453,3.591440886699508,3.7369321291735087,3.594485495347564,3.6115216201423097,3.767131910235359,3.5832512315270937,3.7830459770114944,174,3.635935789545704,178,EMEA,127.6,7.21,0.6605500350337206,0.0500761689245039,3.537786498453676,3.734085080637731
SYNTHETIC DATA,BU22,3.630093579720445,3.5911217720919213,3.5724650556740105,3.757196162046908,3.695421701018716,3.5978441127694856,3.7166785122009,3.598513385453684,3.734583333333333,201,3.644916785122009,205,EMEA,149.4,9.54,0.6936307246672156,0.0489249390668843,3.5490239045509155,3.7408096656931016
SYNTHETIC DATA,BU23,3.2028242147923,3.151236913204998,3.114530563998649,3.315222897669706,3.1430260047281324,3.1909194528875378,3.2750253292806484,3.130530226274907,3.317966903073286,282,3.1904144503546097,291,EMEA,242.5,4.42,0.6048389031214997,0.0360176325381015,3.119819890579931,3.261009010129289
SYNTHETIC DATA,BU24,3.5513157894736844,3.5064849624060157,3.530701754385965,3.712593984962406,3.483364661654135,3.519674185463659,3.722581453634085,3.59859022556391,3.757456140350877,190,3.5781633771929826,193,AMER,159.6,5.83,0.5627989978865213,0.0408297306552385,3.498137105108715,3.6581896492772494
